Experiment,Model,rgb_only,multi_temporal,remove_clouds,fold,norm,subset_type,Accuracy,Precision,Recall,F1,mIoU
Experiment 1,UNet,True,False,False,1,False,test,0.40086063742637634,0.0843510627746582,0.07924085855484009,0.06698232889175415,0.2675950229167938
Experiment 6,UNet,True,False,True,1,False,test,0.3814186453819275,0.06645850837230682,0.06151175871491432,0.048958782106637955,0.22157561779022217
Experiment 21,UTAE,True,True,False,1,False,test,0.2819235622882843,0.04640764743089676,0.07003213465213776,0.046201955527067184,0.15793414413928986
Experiment 26,UTAE,True,True,True,1,False,test,0.48600131273269653,0.09385718405246735,0.09642568230628967,0.0817306861281395,0.3160325288772583
Experiment 31,UTAE,False,True,False,1,False,test,0.09674832224845886,0.07845547795295715,0.04907924681901932,0.0412750206887722,0.06113550812005997
Experiment 36,UTAE,False,True,True,1,False,test,0.2793505787849426,0.09113378822803497,0.08668100088834763,0.06489686667919159,0.16957111656665802
